City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
483,Alvorada,BR,75.6,clear sky,-12.48,-49.1247,Cristal Plaza Hotel
490,Samarai,PG,81.99,broken clouds,-10.6167,150.6667,Nuli Sapi
492,Lanzhou,CN,75.9,clear sky,36.0564,103.7922,Lanzhou Amdo Xiangbala Hotel
494,Russell,US,75.96,broken clouds,32.3502,-85.1999,Macs
495,San Javier,ES,78.75,clear sky,37.8063,-0.8374,Hotel Mar Menor
496,Khash,IR,77.04,scattered clouds,28.2211,61.2158,خوابگاه آبجی محدثه
501,Nantucket,US,78.01,mist,41.2835,-70.0995,Jared Coffin House
505,Port Arthur,CN,75.42,overcast clouds,38.8,121.2667,Friendship Hotel
508,El Rosario,MX,75.42,overcast clouds,24.2556,-107.1828,Mi casa
509,Yiyang,CN,88.39,broken clouds,28.5892,112.3283,Tongcheng International Hotel
510,Gazimurskiy Zavod,RU,77.59,clear sky,51.5461,118.3266,Gostinitsa Gazimur
511,Lensk,RU,75.42,overcast clouds,60.7253,114.9278,ТинОрС
512,Lom Sak,TH,75.58,overcast clouds,16.7798,101.2422,บ้านวรฉัตร หล่มสัก
513,Pandan,PH,85.06,overcast clouds,14.0453,124.1694,Bonifacio Lodge
520,Fukue,JP,78.96,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
521,Kahului,US,80.83,few clouds,20.8947,-156.47,Maui Seaside Hotel
530,Mogadishu,SO,75.36,light rain,2.0371,45.3438,Hotel Juba
533,Waingapu,ID,81.41,few clouds,-9.6567,120.2641,Pondok Wisata Elim
534,Tucurui,BR,77.9,scattered clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
541,Birjand,IR,77.9,clear sky,32.8663,59.2211,Birjand Tourist Hotel
550,Lorengau,PG,84.9,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
552,Sampit,ID,84.51,scattered clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
554,Nuevitas,CU,80.49,few clouds,21.5453,-77.2644,Hotel Caonaba
559,Bondowoso,ID,81.66,few clouds,-7.9135,113.8214,Anugerah Hotel Bondowoso
561,Sinnamary,GF,77.79,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
563,Mason City,US,81.09,clear sky,43.1536,-93.201,Days Inn by Wyndham Mason City
570,Kudahuvadhoo,MV,81.36,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
571,Kalmunai,LK,80.4,broken clouds,7.4167,81.8167,VS Villa
581,Orbetello,IT,75.6,clear sky,42.4408,11.2196,Argentario Golf & Wellness Resort
583,West Bay,KY,84.99,few clouds,19.3667,-81.4167,Calypso Cove
585,Sorong,ID,83.37,few clouds,-0.8833,131.25,Waigo Splash Hotel
589,Eyl,SO,77.16,clear sky,7.9803,49.8164,Amiin Hotel
591,Yaring,TH,81.28,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
594,Dakar,SN,76.08,light rain,14.6937,-17.4441,Novotel Dakar
